"","Contig","moduleColor"
"154","Phel_clc_contig_15637","darkred"
"155","Phel_clc_contig_16885","blue"
"156","Phel_clc_contig_10111","blue"
"157","Phel_clc_contig_12343","blue"
"158","Phel_clc_contig_13361","blue"
"159","Phel_clc_contig_11435","blue"
"160","Phel_clc_contig_12112","midnightblue"
"161","Phel_clc_contig_1717","blue"
"162","Phel_clc_contig_2244","blue"
"163","Phel_clc_contig_3233","blue"
"164","Phel_clc_contig_1376","green"
"165","Phel_clc_contig_5609","blue"
"166","Phel_clc_contig_1719","green"
"167","Phel_clc_contig_5866","green"
"168","Phel_clc_contig_13129","salmon"
"169","Phel_clc_contig_14850","salmon"
"170","Phel_clc_contig_25210","salmon"
"171","Phel_clc_contig_14132","salmon"
"172","Phel_clc_contig_20614","pink"
"173","Phel_clc_contig_89","yellow"
"174","Phel_clc_contig_7895","lightgreen"
"175","Phel_clc_contig_10160","blue"
"176","Phel_clc_contig_10792","blue"
"177","Phel_clc_contig_12512","blue"
"178","Phel_clc_contig_13033","grey60"
"179","Phel_clc_contig_18084","grey60"
"180","Phel_clc_contig_353","blue"
"181","Phel_clc_contig_7382","grey60"
"182","Phel_clc_contig_2296","lightyellow"
"183","Phel_clc_contig_12053","blue"
"184","Phel_clc_contig_8679","salmon"
"185","Phel_clc_contig_24694","midnightblue"
"186","Phel_clc_contig_17979","royalblue"
"187","Phel_clc_contig_4963","lightyellow"
"188","Phel_clc_contig_3737","blue"
"189","Phel_clc_contig_1314","salmon"
"190","Phel_clc_contig_3237","salmon"
"191","Phel_clc_contig_5338","salmon"
"192","Phel_clc_contig_8274","yellow"
"193","Phel_clc_contig_10050","blue"
"194","Phel_clc_contig_1197","royalblue"
"195","Phel_clc_contig_6574","lightyellow"
"196","Phel_clc_contig_6393","lightyellow"
"197","Phel_clc_contig_657","yellow"
"198","Phel_clc_contig_10654","blue"
"199","Phel_clc_contig_7205","lightyellow"
"200","Phel_clc_contig_8035","blue"
"201","Phel_clc_contig_11219","blue"
"202","Phel_clc_contig_3062","blue"
"203","Phel_clc_contig_12736","salmon"
"204","Phel_clc_contig_562","midnightblue"
"205","Phel_clc_contig_21585","blue"
"206","Phel_clc_contig_4428","blue"
"207","Phel_clc_contig_3383","blue"
"208","Phel_clc_contig_20794","lightyellow"
"209","Phel_clc_contig_7093","royalblue"
"210","Phel_clc_contig_12972","magenta"
"211","Phel_clc_contig_12409","magenta"
"212","Phel_clc_contig_14912","royalblue"
"213","Phel_clc_contig_768","royalblue"
"214","Phel_clc_contig_12278","royalblue"
"215","Phel_clc_contig_8498","royalblue"
"216","Phel_clc_contig_9745","magenta"
"217","Phel_clc_contig_11243","royalblue"
"218","Phel_clc_contig_3087","royalblue"
"219","Phel_clc_contig_386","grey60"
"220","Phel_clc_contig_17830","royalblue"
"221","Phel_clc_contig_4792","royalblue"
"222","Phel_clc_contig_17408","blue"
"223","Phel_clc_contig_2720","lightyellow"
"224","Phel_clc_contig_9225","lightyellow"
"225","Phel_clc_contig_999","midnightblue"
"226","Phel_clc_contig_16810","pink"
"227","Phel_clc_contig_13732","magenta"
"228","Phel_clc_contig_3474","pink"
"229","Phel_clc_contig_10438","lightgreen"
"230","Phel_clc_contig_12582","lightgreen"
"231","Phel_clc_contig_17511","lightgreen"
"232","Phel_clc_contig_2661","lightgreen"
"233","Phel_clc_contig_23300","lightgreen"
"234","Phel_clc_contig_13447","pink"
"235","Phel_clc_contig_15229","pink"
"236","Phel_clc_contig_24878","pink"
"237","Phel_clc_contig_18839","lightgreen"
"238","Phel_clc_contig_8176","lightgreen"
"239","Phel_clc_contig_13113","lightcyan"
"240","Phel_clc_contig_17462","cyan"
"241","Phel_clc_contig_2563","cyan"
"242","Phel_clc_contig_1754","blue"
"243","Phel_clc_contig_11508","lightcyan"
"244","Phel_clc_contig_3651","blue"
"245","Phel_clc_contig_3484","lightcyan"
"246","Phel_clc_contig_1499","midnightblue"
"247","Phel_clc_contig_16745","midnightblue"
"248","Phel_clc_contig_145","midnightblue"
"249","Phel_clc_contig_512","midnightblue"
"250","Phel_clc_contig_12365","brown"
"251","Phel_clc_contig_2786","lightcyan"
"252","Phel_clc_contig_15084","darkred"
"253","Phel_clc_contig_17182","lightcyan"
"254","Phel_clc_contig_22783","darkred"
"255","Phel_clc_contig_655","tan"
"256","Phel_clc_contig_17176","blue"
"257","Phel_clc_contig_5294","lightcyan"
"258","Phel_clc_contig_4177","lightcyan"
"259","Phel_clc_contig_4935","lightcyan"
"260","Phel_clc_contig_4975","darkred"
"261","Phel_clc_contig_19722","pink"
"262","Phel_clc_contig_20352","pink"
"263","Phel_clc_contig_27580","darkred"
"264","Phel_clc_contig_5925","brown"
"265","Phel_clc_contig_9439","midnightblue"
